Date,Song,Artist,Ref,
January,4,"""Fireflies""",Owl City,[16]
11,,,,
18,,,,
25,,,,
February,1,,,
8,"""Replay""",Iyaz,[17],
15,,,,
22,"""In My Head""",Jason Derülo,[18],
March,1,,,
8,"""Rude Boy""",Rihanna,[19],
15,,,,
22,"""Hey, Soul Sister""",Train,[20],
29,,,,
April,5,,,
12,,,,
19,"""Just Say So""",Brian McFadden featuring Kevin Rudolf,[21],
26,,,,
May,3,,,
10,"""OMG""",Usher featuring will.i.am,[13],
17,,,,
24,,,,
31,,,,
June,7,,,
14,,,,
21,"""California Gurls""",Katy Perry featuring Snoop Dogg,[22],
28,,,,
July,5,,,
12,,,,
19,"""Love the Way You Lie""",Eminem featuring Rihanna,[14],
26,,,,
August,2,,,
9,,,,
16,,,,
23,,,,
30,"""Dynamite""",Taio Cruz,[23],
September,6,,,
13,,,,
20,,,,
27,"""Only Girl (In the World)""",Rihanna,[24],
October,4,,,
11,,,,
18,"""Raise Your Glass""",Pink,[25],
25,"""Just the Way You Are""",Bruno Mars,[26],
November,1,"""Only Girl (In the World)""",Rihanna,[24]
8,"""We R Who We R""",Kesha,[27],
15,,,,
22,"""The Time (Dirty Bit)""",The Black Eyed Peas,[28],
29,"""We R Who We R""",Kesha,[27],
December,6,"""The Time (Dirty Bit)""",The Black Eyed Peas,[28]
13,"""Grenade""",Bruno Mars,[29],
20,,,,
27,"""Who's That Girl""",Guy Sebastian featuring Eve,[30],
