Date,Artist,Single,Weeks at number one
1/7/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
1/14/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
1/21/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
1/28/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
2/4/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
2/11/1956,Mitch Miller,"""The Yellow Rose of Texas""",6 weeks
2/18/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
2/25/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
3/3/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
3/10/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
3/17/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
3/24/1956,"""Tennessee"" Ernie Ford; Frankie Laine","""Sixteen Tons""",6 weeks
3/31/1956,Al Hibbler,"""He""",2 weeks
4/7/1956,Al Hibbler,"""He""",2 weeks
4/14/1956,Dean Martin,"""Memories Are Made of This""",5 weeks
4/21/1956,Dean Martin,"""Memories Are Made of This""",5 weeks
4/28/1956,Dean Martin,"""Memories Are Made of This""",5 weeks
5/5/1956,Dean Martin,"""Memories Are Made of This""",5 weeks
5/12/1956,Dean Martin,"""Memories Are Made of This""",5 weeks
5/19/1956,Louis Armstrong,"""Mack the Knife""",4 weeks
5/26/1956,Louis Armstrong,"""Mack the Knife""",4 weeks
6/2/1956,Louis Armstrong,"""Mack the Knife""",4 weeks
6/9/1956,Louis Armstrong,"""Mack the Knife""",4 weeks
6/16/1956,Kay Starr,"""The Rock and Roll Waltz""",5 weeks
6/23/1956,Kay Starr,"""The Rock and Roll Waltz""",5 weeks
6/30/1956,Kay Starr,"""The Rock and Roll Waltz""",5 weeks
7/7/1956,Kay Starr,"""The Rock and Roll Waltz""",5 weeks
7/14/1956,Kay Starr,"""The Rock and Roll Waltz""",5 weeks
7/21/1956,The Platters,"""The Great Pretender""",3 weeks
7/28/1956,The Platters,"""The Great Pretender""",3 weeks
8/4/1956,The Platters,"""The Great Pretender""",3 weeks
8/11/1956,Les Baxter,"""The Poor People of Paris""",1 week
8/18/1956,Morris Stoloff,"""Moonglow and Love Theme (from 'Picnic"")""",1 week
8/25/1956,"Joe ""Fingers"" Carr","""Portuguese Washerwomen""",3 weeks
9/1/1956,"Joe ""Fingers"" Carr","""Portuguese Washerwomen""",3 weeks
9/8/1956,"Joe ""Fingers"" Carr","""Portuguese Washerwomen""",3 weeks
9/15/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
9/22/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
9/29/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
10/6/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
10/13/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
10/20/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
10/27/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
11/3/1956,Doris Day,"""Que Sera, Sera (Whatever Will Be, Will Be)""",8 weeks
11/10/1956,Perry Como,"""Hot Diggity (Dog Ziggity Boom)""",4 weeks
11/17/1956,Perry Como,"""Hot Diggity (Dog Ziggity Boom)""",4 weeks
11/24/1956,Perry Como,"""Hot Diggity (Dog Ziggity Boom)""",4 weeks
12/1/1956,Perry Como,"""Hot Diggity (Dog Ziggity Boom)""",4 weeks
12/8/1956,Johnnie Ray,"""Just Walking In The Rain""",9 weeks
12/15/1956,Johnnie Ray,"""Just Walking In The Rain""",9 weeks
12/22/1956,Johnnie Ray,"""Just Walking In The Rain""",9 weeks
12/29/1956,Johnnie Ray,"""Just Walking In The Rain""",9 weeks
