Date,Artist,Single,Weeks at number one
1/3/1977,Chicago,"""If You Leave Me Now""",5 weeks
1/10/1977,Chicago,"""If You Leave Me Now""",5 weeks
1/17/1977,Chicago,"""If You Leave Me Now""",5 weeks
1/23/1977,Chicago,"""If You Leave Me Now""",5 weeks
1/31/1977,Pussyfoot,"""The Way You Do It""",7 weeks
2/7/1977,Pussyfoot,"""The Way You Do It""",7 weeks
2/14/1977,Pussyfoot,"""The Way You Do It""",7 weeks
2/21/1977,Pussyfoot,"""The Way You Do It""",7 weeks
2/28/1977,Pussyfoot,"""The Way You Do It""",7 weeks
3/7/1977,Pussyfoot,"""The Way You Do It""",7 weeks
3/14/1977,Pussyfoot,"""The Way You Do It""",7 weeks
3/21/1977,Mary MacGregor,"""Torn Between Two Lovers""",4 weeks
3/28/1977,Mary MacGregor,"""Torn Between Two Lovers""",4 weeks
4/4/1977,Mary MacGregor,"""Torn Between Two Lovers""",4 weeks
4/11/1977,Mary MacGregor,"""Torn Between Two Lovers""",4 weeks
4/18/1977,David Soul,"""Don't Give Up on Us""",3 weeks
4/25/1977,David Soul,"""Don't Give Up on Us""",3 weeks
5/2/1977,David Soul,"""Don't Give Up on Us""",3 weeks
5/9/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
5/16/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
5/23/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
5/30/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
6/6/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
6/13/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
6/20/1977,Julie Covington,"""Don't Cry for Me Argentina""",7 weeks
6/27/1977,Little River Band,"""Help Is on Its Way""",1 week
7/4/1977,Dr. Hook,"""Walk Right In""",5 weeks
7/11/1977,Dr. Hook,"""Walk Right In""",5 weeks
7/18/1977,Dr. Hook,"""Walk Right In""",5 weeks
7/25/1977,Dr. Hook,"""Walk Right In""",5 weeks
8/1/1977,Dr. Hook,"""Walk Right In""",5 weeks
8/8/1977,Peter Allen,"""I Go To Rio""",5 weeks
8/15/1977,Peter Allen,"""I Go To Rio""",5 weeks
8/22/1977,Peter Allen,"""I Go To Rio""",5 weeks
8/29/1977,Peter Allen,"""I Go To Rio""",5 weeks
9/5/1977,Peter Allen,"""I Go To Rio""",5 weeks
9/12/1977,Carole Bayer Sager,"""You're Moving Out Today""",4 weeks
9/19/1977,Carole Bayer Sager,"""You're Moving Out Today""",4 weeks
9/26/1977,Carole Bayer Sager,"""You're Moving Out Today""",4 weeks
10/3/1977,Carole Bayer Sager,"""You're Moving Out Today""",4 weeks
10/10/1977,Donna Summer,"""I Feel Love""",1 week
10/17/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
10/24/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
10/31/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
11/7/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
11/14/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
11/21/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
11/28/1977,Andy Gibb,"""I Just Want to Be Your Everything""",7 weeks
12/5/1977,Rod Stewart,"""You're in My Heart""",1 week
12/12/1977,Wings,"""Mull of Kintyre""",11 weeks
12/19/1977,Wings,"""Mull of Kintyre""",11 weeks
12/26/1977,Wings,"""Mull of Kintyre""",11 weeks
