*Week beginning*,*Song*,*Artist*
1/5/2003,Lose Yourself,Eminem
1/12/2003,Lose Yourself,Eminem
1/19/2003,Lose Yourself,Eminem
1/26/2003,Lose Yourself,Eminem
2/2/2003,Lose Yourself,Eminem
2/9/2003,Lose Yourself,Eminem
2/16/2003,Lose Yourself,Eminem
2/23/2003,Lose Yourself,Eminem
3/2/2003,Beautiful,Christina Aguilera
3/9/2003,Lost Without You,Delta Goodrem
3/16/2003,All the Things She Said,t.A.T.u.
3/23/2003,Lost Without You,Delta Goodrem
3/30/2003,All the Things She Said,t.A.T.u.
4/6/2003,In Da Club,50 Cent
4/13/2003,In Da Club,50 Cent
4/20/2003,In Da Club,50 Cent
4/27/2003,In Da Club,50 Cent
5/4/2003,In Da Club,50 Cent
5/11/2003,Rock Your Body,Justin Timberlake
5/18/2003,Bring Me to Life,Evanescence featuring Paul McCoy
5/25/2003,Bring Me to Life,Evanescence featuring Paul McCoy
6/1/2003,Bring Me to Life,Evanescence featuring Paul McCoy
6/8/2003,Bring Me to Life,Evanescence featuring Paul McCoy
6/15/2003,Bring Me to Life,Evanescence featuring Paul McCoy
6/22/2003,Bring Me to Life,Evanescence featuring Paul McCoy
6/29/2003,Innocent Eyes,Delta Goodrem
7/6/2003,Innocent Eyes,Delta Goodrem
7/13/2003,Ignition (Remix),R. Kelly
7/20/2003,Ignition (Remix),R. Kelly
7/27/2003,Ignition (Remix),R. Kelly
8/3/2003,Ignition (Remix),R. Kelly
8/10/2003,Ignition (Remix),R. Kelly
8/17/2003,Ignition (Remix),R. Kelly
8/24/2003,Where Is the Love?,The Black Eyed Peas featuring Justin Timberlake
8/31/2003,Where Is the Love?,Black Eyed Peas featuring Justin Timberlake
9/7/2003,Where Is the Love?,Black Eyed Peas featuring Justin Timberlake
9/14/2003,Where Is the Love?,Black Eyed Peas featuring Justin Timberlake
9/21/2003,White Flag,Dido
9/28/2003,"Not Me, Not I",Delta Goodrem
10/5/2003,Where Is the Love?,Black Eyed Peas featuring Justin Timberlake
10/12/2003,Where Is the Love?,Black Eyed Peas featuring Justin Timberlake
10/19/2003,Rise Up,Australian Idol Final 12
10/26/2003,Rise Up,Australian Idol Final 12
11/2/2003,Rise Up,Australian Idol Final 12
11/9/2003,Slow,Kylie Minogue
11/16/2003,Me Against the Music,Britney Spears and Madonna
11/23/2003,Me Against the Music,Britney Spears and Madonna
11/30/2003,Angels Brought Me Here,Guy Sebastian
12/7/2003,Angels Brought Me Here,Guy Sebastian
12/14/2003,Predictable/Happy Xmas (War Is Over),Delta Goodrem
12/21/2003,Predictable/Happy Xmas (War Is Over),Delta Goodrem
12/28/2003,Shut Up,The Black Eyed Peas
