Date,Artist,Single,Weeks at number one
1/2/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
1/9/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
1/16/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
1/23/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
1/30/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
2/6/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
2/13/1954,"Nat ""King"" Cole","""Pretend""",7 weeks
2/20/1954,The Ames Brothers,"""You, You, You""",1 week
2/27/1954,Tony Bennett,"""Rags to Riches""",5 weeks
3/6/1954,Tony Bennett,"""Rags to Riches""",5 weeks
3/13/1954,Tony Bennett,"""Rags to Riches""",5 weeks
3/20/1954,Tony Bennett,"""Rags to Riches""",5 weeks
3/27/1954,Tony Bennett,"""Rags to Riches""",5 weeks
4/3/1954,Frank Chacksfield,"""Ebb Tide""",2 weeks
4/10/1954,Frank Chacksfield,"""Ebb Tide""",2 weeks
4/17/1954,Dean Martin,"""That's Amore""",3 weeks
4/24/1954,Dean Martin,"""That's Amore""",3 weeks
5/1/1954,Dean Martin,"""That's Amore""",3 weeks
5/8/1954,Eddie Fisher,"""Oh My Pa-Pa (O Mein Papa)""",4 weeks
5/15/1954,Eddie Fisher,"""Oh My Pa-Pa (O Mein Papa)""",4 weeks
5/22/1954,Eddie Fisher,"""Oh My Pa-Pa (O Mein Papa)""",4 weeks
5/29/1954,Eddie Fisher,"""Oh My Pa-Pa (O Mein Papa)""",4 weeks
6/5/1954,"Nat ""King"" Cole
Frankie Laine","""Answer Me, My Love""
""Answer Me, Lord Above""",4 weeks
6/12/1954,"Nat ""King"" Cole
Frankie Laine","""Answer Me, My Love""
""Answer Me, Lord Above""",4 weeks
6/19/1954,"Nat ""King"" Cole
Frankie Laine","""Answer Me, My Love""
""Answer Me, Lord Above""",4 weeks
6/26/1954,"Nat ""King"" Cole
Frankie Laine","""Answer Me, My Love""
""Answer Me, Lord Above""",4 weeks
7/3/1954,Frank Sinatra,"""Young at Heart""",3 weeks
7/10/1954,Frank Sinatra,"""Young at Heart""",3 weeks
7/17/1954,Frank Sinatra,"""Young at Heart""",3 weeks
7/24/1954,Perry Como,"""Wanted""",1 weeks
7/31/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
8/7/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
8/14/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
8/21/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
8/28/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
9/4/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
9/11/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
9/18/1954,Frank Weir; Obernkirchen Children's Choir,"""The Happy Wanderer""",8 weeks
9/25/1954,Frank Sinatra; The Four Aces,"""Three Coins in the Fountain""",2 weeks
10/2/1954,Frank Sinatra; The Four Aces,"""Three Coins in the Fountain""",2 weeks
10/9/1954,The Gaylords; Petula Clark,"""The Little Shoemaker""",2 weeks
10/16/1954,The Gaylords; Petula Clark,"""The Little Shoemaker""",2 weeks
10/23/1954,Kitty Kallen,"""Little Things Mean a Lot""",5 weeks
10/30/1954,Kitty Kallen,"""Little Things Mean a Lot""",5 weeks
11/6/1954,Kitty Kallen,"""Little Things Mean a Lot""",5 weeks
11/13/1954,Kitty Kallen,"""Little Things Mean a Lot""",5 weeks
11/20/1954,Kitty Kallen,"""Little Things Mean a Lot""",5 weeks
11/27/1954,Dean Martin,"""Sway""",1 week
12/4/1954,The Crew Cuts,"""Sh-Boom""",4 weeks
12/11/1954,The Crew Cuts,"""Sh-Boom""",4 weeks
12/18/1954,The Crew Cuts,"""Sh-Boom""",4 weeks
12/25/1954,The Crew Cuts,"""Sh-Boom""",4 weeks
