Date,Artist,Single,Weeks at number one
1/1/1955,The Four Lads,"""Skokiaan""",2 weeks
1/8/1955,The Four Lads,"""Skokiaan""",2 weeks
1/15/1955,Mario Lanza,"""Serenade (From ""The Student Prince"")""",2 weeks
1/22/1955,Mario Lanza,"""Serenade (From ""The Student Prince"")""",2 weeks
1/29/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
2/5/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
2/12/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
2/19/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
2/26/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
3/5/1955,"Don Cornell; Nat ""King"" Cole","""Hold My Hand""",6 weeks
3/12/1955,Eddie Fisher,"""I Need You Now""",3 weeks
3/19/1955,Eddie Fisher,"""I Need You Now""",3 weeks
3/26/1955,Eddie Fisher,"""I Need You Now""",3 weeks
4/2/1955,The Four Aces; The Chordettes,"""Mr Sandman""",4 weeks
4/9/1955,The Four Aces; The Chordettes,"""Mr Sandman""",4 weeks
4/16/1955,The Four Aces; The Chordettes,"""Mr Sandman""",4 weeks
4/23/1955,The Four Aces; The Chordettes,"""Mr Sandman""",4 weeks
4/30/1955,Joan Weber; Teresa Brewer,"""Let Me Go, Lover""",2 weeks
5/7/1955,Joan Weber; Teresa Brewer,"""Let Me Go, Lover""",2 weeks
5/14/1955,Dean Martin; The Ames Brothers,"""The Naughty Lady of Shady Lane""",2 weeks
5/21/1955,Dean Martin; The Ames Brothers,"""The Naughty Lady of Shady Lane""",2 weeks
5/28/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
6/4/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
6/11/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
6/18/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
6/25/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
7/2/1955,The Four Aces; Billy Vaughn,"""Melody of Love""",6 weeks
7/9/1955,Victor Young; Les Baxter,"""The High and the Mighty""",3 weeks
7/16/1955,Victor Young; Les Baxter,"""The High and the Mighty""",3 weeks
7/23/1955,Victor Young; Les Baxter,"""The High and the Mighty""",3 weeks
7/30/1955,Les Baxter; Perez Prado,"""Cherry Pink and Apple Blossom White""",3 weeks
8/6/1955,Les Baxter; Perez Prado,"""Cherry Pink and Apple Blossom White""",3 weeks
8/13/1955,Les Baxter; Perez Prado,"""Cherry Pink and Apple Blossom White""",3 weeks
8/20/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
8/27/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
9/3/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
9/10/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
9/17/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
9/24/1955,Bill Haley & His Comets,"""Rock Around the Clock""",6 weeks
10/1/1955,Darryl Stewart,"""A Man Called Peter""",1 week
10/8/1955,Al Hibbler; Les Baxter,"""Unchained Melody""",5 weeks
10/15/1955,Al Hibbler; Les Baxter,"""Unchained Melody""",5 weeks
10/22/1955,Al Hibbler; Les Baxter,"""Unchained Melody""",5 weeks
10/29/1955,Al Hibbler; Les Baxter,"""Unchained Melody""",5 weeks
11/5/1955,Al Hibbler; Les Baxter,"""Unchained Melody""",5 weeks
11/12/1955,Frank Sinatra,"""Learnin' the Blues""",1 week
11/19/1955,Tony Bennett,"""Stranger in Paradise""",3 weeks
11/26/1955,Tony Bennett,"""Stranger in Paradise""",3 weeks
12/3/1955,Tony Bennett,"""Stranger in Paradise""",3 weeks
12/10/1955,"""Tennessee"" Ernie Ford; Fess Parker","""The Ballad of Davy Crockett""",4 weeks
12/17/1955,"""Tennessee"" Ernie Ford; Fess Parker","""The Ballad of Davy Crockett""",4 weeks
12/24/1955,"""Tennessee"" Ernie Ford; Fess Parker","""The Ballad of Davy Crockett""",4 weeks
12/31/1955,"""Tennessee"" Ernie Ford; Fess Parker","""The Ballad of Davy Crockett""",4 weeks
