Date,Artist,Single,Months at number one
January,Joe Loss; Carson Robison,"""South of the Border (Down Mexico Way)""",3 months
February,,,
March,,,
April,The Andrews Sisters; Joe Loss,"""Beer Barrel Polka (Roll Out The Barrel)""",1 month
May,Joe Loss; Glenn Miller,"""Blue Orchids""",3 months
June,,,
July,,,
August,Joe Loss,"""Till the Lights of London Shine Again""",3 months
September,,,
October,,,
November,Kate Smith; Glenn Miller,"""The Woodpecker Song""",5 months
December,,,
