Date,Artist,Single,Weeks at number one
1/6/1951,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
1/13/1951,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
1/20/1951,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
1/27/1951,Gordon Jenkins; Doris Day,"""Bewitched""",5 weeks
2/3/1951,Gordon Jenkins; Doris Day,"""Bewitched""",5 weeks
2/10/1951,Gordon Jenkins; Doris Day,"""Bewitched""",5 weeks
2/17/1951,Gordon Jenkins; Doris Day,"""Bewitched""",5 weeks
2/24/1951,Gordon Jenkins; Doris Day,"""Bewitched""",5 weeks
3/3/1951,Phil Harris; Les Welch,"""The Thing""",3 weeks
3/10/1951,Phil Harris; Les Welch,"""The Thing""",3 weeks
3/17/1951,Phil Harris; Les Welch,"""The Thing""",3 weeks
3/24/1951,Art Mooney,"""Silver Dollar""",2 weeks
3/31/1951,Art Mooney,"""Silver Dollar""",2 weeks
4/7/1951,Bing Crosby; Patti Page,"""All My Love""",1 week
4/14/1951,Paul Weston & Norman Luboff Choir,"""Nevertheless (I'm in Love with You)""",3 weeks
4/21/1951,Paul Weston & Norman Luboff Choir,"""Nevertheless (I'm in Love with You)""",3 weeks
4/28/1951,Paul Weston & Norman Luboff Choir,"""Nevertheless (I'm in Love with You)""",3 weeks
5/5/1951,Pee Wee King; Gene Krupa,"""Bonaparte's Retreat""",2 weeks
5/12/1951,Pee Wee King; Gene Krupa,"""Bonaparte's Retreat""",2 weeks
5/19/1951,Pee Wee King; Patti Page,"""Tennessee Waltz""",3 weeks
5/26/1951,Pee Wee King; Patti Page,"""Tennessee Waltz""",3 weeks
6/2/1951,Pee Wee King; Patti Page,"""Tennessee Waltz""",3 weeks
6/9/1951,"Danny Kaye & Patty Andrews; Nat ""King"" Cole","""Orange Coloured Sky""",1 week
6/16/1951,Debbie Reynolds & Carleton Carpenter,"""Aba Daba Honeymoon""",4 weeks
6/23/1951,Debbie Reynolds & Carleton Carpenter,"""Aba Daba Honeymoon""",4 weeks
6/30/1951,Debbie Reynolds & Carleton Carpenter,"""Aba Daba Honeymoon""",4 weeks
7/7/1951,Debbie Reynolds & Carleton Carpenter,"""Aba Daba Honeymoon""",4 weeks
7/14/1951,Perry Como; Jo Stafford,"""If (They Made Me a King)""",3 weeks
7/21/1951,Perry Como; Jo Stafford,"""If (They Made Me a King)""",3 weeks
7/28/1951,Perry Como; Jo Stafford,"""If (They Made Me a King)""",3 weeks
8/4/1951,Guy Mitchell,"""My Heart Cries For You""",4 weeks
8/11/1951,Guy Mitchell,"""My Heart Cries For You""",4 weeks
8/18/1951,Guy Mitchell,"""My Heart Cries For You""",4 weeks
8/25/1951,Guy Mitchell,"""My Heart Cries For You""",4 weeks
9/1/1951,Donald Peers & Jim Gussey,"""Mockin' Bird Hill""",1 week
9/8/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
9/15/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
9/22/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
9/29/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
10/6/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
10/13/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
10/20/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
10/27/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
11/3/1951,"Nat ""King"" Cole; Toni Arden","""Too Young""",9 weeks
11/10/1951,Mario Lanza; Ann Blyth,"""The Loveliest Night of the Year""",2 weeks
11/17/1951,Mario Lanza; Ann Blyth,"""The Loveliest Night of the Year""",2 weeks
11/24/1951,Guy Mitchell; Donald Peers,"""My Truly, Truly Fair""",4 weeks
12/1/1951,Guy Mitchell; Donald Peers,"""My Truly, Truly Fair""",4 weeks
12/8/1951,Guy Mitchell; Donald Peers,"""My Truly, Truly Fair""",4 weeks
12/15/1951,Guy Mitchell; Donald Peers,"""My Truly, Truly Fair""",4 weeks
12/22/1951,Dinah Shore; Jane Turzy,"""Sweet Violets""",4 weeks
12/29/1951,Dinah Shore; Jane Turzy,"""Sweet Violets""",4 weeks
