Date,Artist,Single,Weeks at number one
1/3/1972,John Lennon,"""Imagine""",5 weeks
1/10/1972,John Lennon,"""Imagine""",5 weeks
1/17/1972,John Lennon,"""Imagine""",5 weeks
1/24/1972,John Lennon,"""Imagine""",5 weeks
1/31/1972,David Cassidy,"""Cherish""",2 weeks
2/7/1972,David Cassidy,"""Cherish""",2 weeks
2/14/1972,Benny Hill,"""Ernie (The Fastest Milkman in the West)""",2 weeks
2/21/1972,Benny Hill,"""Ernie (The Fastest Milkman in the West)""",2 weeks
2/28/1972,Melanie,"""Brand New Key""",1 week
3/6/1972,Don McLean,"""American Pie""",5 weeks
3/13/1972,Don McLean,"""American Pie""",5 weeks
3/19/1972,Don McLean,"""American Pie""",5 weeks
3/27/1972,Don McLean,"""American Pie""",5 weeks
4/3/1972,Don McLean,"""American Pie""",5 weeks
4/10/1972,Nilsson,"""Without You""",5 weeks
4/17/1972,Nilsson,"""Without You""",5 weeks
4/24/1972,Nilsson,"""Without You""",5 weeks
5/1/1972,Nilsson,"""Without You""",5 weeks
5/8/1972,Nilsson,"""Without You""",5 weeks
5/15/1972,Royal Scots Dragoon Guards,"""Amazing Grace""",5 weeks
5/22/1972,Royal Scots Dragoon Guards,"""Amazing Grace""",5 weeks
5/29/1972,Royal Scots Dragoon Guards,"""Amazing Grace""",5 weeks
6/5/1972,Royal Scots Dragoon Guards,"""Amazing Grace""",5 weeks
6/12/1972,Royal Scots Dragoon Guards,"""Amazing Grace""",5 weeks
6/19/1972,Roberta Flack,"""The First Time Ever I Saw Your Face""",2 weeks
6/26/1972,Roberta Flack,"""The First Time Ever I Saw Your Face""",2 weeks
7/3/1972,Dr. Hook & The Medicine Show,"""Sylvia's Mother""",3 weeks
7/10/1972,Dr. Hook & The Medicine Show,"""Sylvia's Mother""",3 weeks
7/17/1972,Dr. Hook & The Medicine Show,"""Sylvia's Mother""",3 weeks
7/24/1972,Donny Osmond,"""Puppy Love""",6 weeks
7/31/1972,Donny Osmond,"""Puppy Love""",6 weeks
8/7/1972,Donny Osmond,"""Puppy Love""",6 weeks
8/14/1972,Donny Osmond,"""Puppy Love""",6 weeks
8/21/1972,Donny Osmond,"""Puppy Love""",6 weeks
8/28/1972,Donny Osmond,"""Puppy Love""",6 weeks
9/4/1972,Wayne Newton,"""Daddy, Don't You Walk So Fast""",3 weeks
9/11/1972,Wayne Newton,"""Daddy, Don't You Walk So Fast""",3 weeks
9/18/1972,Wayne Newton,"""Daddy, Don't You Walk So Fast""",3 weeks
9/25/1972,Gary Glitter,"""Rock and Roll, Part 2""",1 week
10/2/1972,Blackfeather,"""Boppin' the Blues""",2 weeks
10/9/1972,Blackfeather,"""Boppin' the Blues""",2 weeks
10/16/1972,Hot Butter,"""Popcorn""",8 weeks
10/23/1972,Hot Butter,"""Popcorn""",8 weeks
10/30/1972,Hot Butter,"""Popcorn""",8 weeks
11/6/1972,Hot Butter,"""Popcorn""",8 weeks
11/13/1972,Hot Butter,"""Popcorn""",8 weeks
11/20/1972,Hot Butter,"""Popcorn""",8 weeks
11/27/1972,Hot Butter,"""Popcorn""",8 weeks
12/4/1972,Hot Butter,"""Popcorn""",8 weeks
12/11/1972,Michael Jackson,"""Ben""",8 weeks
12/18/1972,Michael Jackson,"""Ben""",8 weeks
12/25/1972,Michael Jackson,"""Ben""",8 weeks
