Date,Artist,Single,Weeks at number one
1/7/1967,Normie Rowe,"""Ooh La La"" / ""Ain't Nobody Home""",2 weeks (also one week in 1966)
1/14/1967,,,
1/21/1967,Tom Jones,"""Green, Green Grass of Home""",3 weeks
1/28/1967,,,
2/4/1967,,,
2/11/1967,The Monkees,"""I'm a Believer"" / ""(I'm Not Your) Steppin' Stone""",1 week
2/18/1967,The Royal Guardsmen,"""Snoopy Vs. The Red Baron""",5 weeks
2/25/1967,,,
3/4/1967,,,
3/11/1967,,,
3/18/1967,,,
3/25/1967,The Seekers,"""Georgy Girl""",1 week
4/1/1967,The Beatles,"""Penny Lane"" / ""Strawberry Fields Forever""",5 weeks
4/8/1967,,,
4/15/1967,,,
4/22/1967,,,
4/29/1967,,,
5/6/1967,Nancy Sinatra and Frank Sinatra,"""Somethin' Stupid""",3 weeks
5/13/1967,,,
5/20/1967,,,
5/27/1967,Petula Clark,"""This is My Song""",6 weeks
6/3/1967,,,
6/10/1967,,,
6/17/1967,,,
6/24/1967,,,
7/1/1967,,,
7/8/1967,Procol Harum,"""A Whiter Shade of Pale""",3 weeks
7/15/1967,,,
7/22/1967,,,
7/29/1967,The Beatles,"""All You Need is Love"" / ""Baby, You're a Rich Man""",5 weeks
8/5/1967,,,
8/12/1967,,,
8/19/1967,,,
8/26/1967,,,
9/2/1967,The 5th Dimension,"""Up, Up and Away""",2 weeks
9/9/1967,,,
9/16/1967,Petula Clark,"""Don't Sleep in the Subway""",2 weeks
9/23/1967,,,
9/30/1967,Vikki Carr,"""It Must Be Him""",3 weeks
10/7/1967,,,
10/14/1967,,,
10/21/1967,Engelbert Humperdinck,"""The Last Waltz""",9 weeks
10/28/1967,,,
11/4/1967,,,
11/11/1967,,,
11/18/1967,,,
11/25/1967,,,
12/2/1967,,,
12/9/1967,,,
12/16/1967,,,
12/23/1967,The Royal Guardsmen,"""Snoopy's Christmas""",2 weeks
12/30/1967,,,
