Date,Artist,Single,Months at number one
January,Glenn Miller & Joe Loss,"""In The Mood""",5 months
February,,,
March,,,
April,,,
May,,,
June,The Andrews Sisters; Sammy Kaye,"""Daddy""",1 month
July,Vera Lynn; Jean Cerchi,"""(There'll Be Bluebirds Over) The White Cliffs of Dover""",3 months
August,,,
September,,,
October,Horace Heidt; Ink Spots,"""I Don't Want to Set the World on Fire""",2 months
November,,,
December,Gene Autry; Horace Heidt,"""Deep in the Heart of Texas""",2 months
