Date,Artist,Single,Weeks at number one
1/7/1950,Burl Ives; Dinah Shore,"""Lavender Blue (Dilly Dilly)""",6 weeks (2 weeks in 1949)
1/14/1950,Burl Ives; Dinah Shore,"""Lavender Blue (Dilly Dilly)""",6 weeks (2 weeks in 1949)
1/21/1950,Burl Ives; Dinah Shore,"""Lavender Blue (Dilly Dilly)""",6 weeks (2 weeks in 1949)
1/28/1950,Burl Ives; Dinah Shore,"""Lavender Blue (Dilly Dilly)""",6 weeks (2 weeks in 1949)
2/4/1950,Perry Como & The Fontane Sisters; Tony Pastor,"""""A"" You're Adorable""",4 weeks
2/11/1950,Perry Como & The Fontane Sisters; Tony Pastor,"""""A"" You're Adorable""",4 weeks
2/18/1950,Perry Como & The Fontane Sisters; Tony Pastor,"""""A"" You're Adorable""",4 weeks
2/25/1950,Perry Como & The Fontane Sisters; Tony Pastor,"""""A"" You're Adorable""",4 weeks
3/4/1950,Perry Como; Russ Morgan,"""Forever And Ever""'",3 weeks
3/11/1950,Perry Como; Russ Morgan,"""Forever And Ever""",3 weeks
3/18/1950,Perry Como; Russ Morgan,"""Forever And Ever""",3 weeks
3/25/1950,Bing Crosby; Sammy Kaye,"""The Four Winds and the Seven Seas""",3 weeks
4/1/1950,Bing Crosby; Sammy Kaye,"""The Four Winds and the Seven Seas""",3 weeks
4/8/1950,Bing Crosby; Sammy Kaye,"""The Four Winds and the Seven Seas""",3 weeks
4/15/1950,Freddy Martin; Sammy Kaye,"""I've Got a Lovely Bunch of Coconuts""",3 weeks
4/22/1950,Freddy Martin; Sammy Kaye,"""I've Got a Lovely Bunch of Coconuts""",3 weeks
4/29/1950,Freddy Martin; Sammy Kaye,"""I've Got a Lovely Bunch of Coconuts""",3 weeks
5/6/1950,Buddy Clark; Vic Damone,"""You're Breaking My Heart""",3 weeks
5/13/1950,Buddy Clark; Vic Damone,"""You're Breaking My Heart""",3 weeks
5/20/1950,Buddy Clark; Vic Damone,"""You're Breaking My Heart""",3 weeks
5/27/1950,Guy Lombardo; Art Mooney,"""Hop Scotch Polka""",2 weeks
6/3/1950,Guy Lombardo; Art Mooney,"""Hop Scotch Polka""",2 weeks
6/10/1950,Donald Peers,"""I Told Them All About You""",2 weeks
6/17/1950,Donald Peers,"""I Told Them All About You""",2 weeks
6/24/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
7/1/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
7/8/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
7/15/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
7/22/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
7/29/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
8/5/1950,Donald Peers; Freddy Martin; Teresa Brewer,"""Music! Music! Music!""",7 weeks
8/12/1950,Gordon Jenkins; Joe Loss,"""My Foolish Heart""",4 weeks
8/19/1950,Gordon Jenkins; Joe Loss,"""My Foolish Heart""",4 weeks
8/26/1950,Gordon Jenkins; Joe Loss,"""My Foolish Heart""",4 weeks
9/2/1950,Gordon Jenkins; Joe Loss,"""My Foolish Heart""",4 weeks
9/9/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
9/16/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
9/23/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
9/30/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
10/7/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
10/14/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
10/21/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
10/28/1950,Bing Crosby & The Andrews Sisters,"""Quicksilver""",8 weeks
11/4/1950,Sammy Kaye,"""Hollywood Square Dance""",1 week
11/11/1950,"Dennis Day; Nat ""King"" Cole","""Mona Lisa""",5 weeks
11/18/1950,"Dennis Day; Nat ""King"" Cole","""Mona Lisa""",5 weeks
11/25/1950,"Dennis Day; Nat ""King"" Cole","""Mona Lisa""",5 weeks
12/2/1950,"Dennis Day; Nat ""King"" Cole","""Mona Lisa""",5 weeks
12/9/1950,"Dennis Day; Nat ""King"" Cole","""Mona Lisa""",5 weeks
12/16/1950,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
12/23/1950,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
12/30/1950,Gordon Jenkins & The Weavers,"""Goodnight Irene""",6 weeks
