Cher - "Believe", 24 January for 5 weeks
Britney Spears - "...Baby One More Time", 28 February for 9 weeks
TLC - "No Scrubs", 2 May for 7 weeks
Sixpence None the Richer - "Kiss Me", 20 June for 3 weeks
Jennifer Lopez - "If You Had My Love", 11 July for 3 weeks
Pearl Jam - "Last Kiss", 1 August for 6 weeks
Lou Bega - "Mambo No. 5 (A Little Bit Of...)", 19 September for 8 weeks. Highest selling single of the year.
Eiffel 65 - "Blue (Da Ba Dee)", 14 November for 7 weeks and 2 weeks in 2000
