Date,Artist,Single,Weeks at number one
1/5/1952,Dinah Shore; Jane Turzy,"""Sweet Violets""",4 weeks
1/12/1952,Dinah Shore; Jane Turzy,"""Sweet Violets""",4 weeks
1/19/1952,Tony Bennett,"""Because of You""",6 weeks
1/26/1952,Tony Bennett,"""Because of You""",6 weeks
2/2/1952,Tony Bennett,"""Because of You""",6 weeks
2/9/1952,Tony Bennett,"""Because of You""",6 weeks
2/16/1952,Tony Bennett,"""Because of You""",6 weeks
2/23/1952,Tony Bennett,"""Because of You""",6 weeks
3/1/1952,Tony Bennett,"""Cold, Cold Heart""",2 weeks
3/8/1952,Tony Bennett,"""Cold, Cold Heart""",2 weeks
3/15/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
3/22/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
3/29/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
4/5/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
4/12/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
4/19/1952,Louis Armstrong,"""A Kiss To Build a Dream On""",6 weeks
4/26/1952,"Champ Butler; Joe ""Fingers"" Carr","""Down Yonder""",2 weeks
5/3/1952,"Champ Butler; Joe ""Fingers"" Carr","""Down Yonder""",2 weeks
5/10/1952,Pee Wee King,"""Slow Coach (Slow Poke)""",5 weeks
5/17/1952,Pee Wee King,"""Slow Coach (Slow Poke)""",5 weeks
5/24/1952,Pee Wee King,"""Slow Coach (Slow Poke)""",5 weeks
5/31/1952,Pee Wee King,"""Slow Coach (Slow Poke)""",5 weeks
6/7/1952,Pee Wee King,"""Slow Coach (Slow Poke)""",5 weeks
6/14/1952,Johnnie Ray,"""Cry""",5 weeks
6/21/1952,Johnnie Ray,"""Cry""",5 weeks
6/28/1952,Johnnie Ray,"""Cry""",5 weeks
7/5/1952,Johnnie Ray,"""Cry""",5 weeks
7/12/1952,Johnnie Ray,"""Cry""",5 weeks
7/19/1952,Eddie Fisher; The Four Aces,"""Tell Me Why""",2 weeks
7/26/1952,Eddie Fisher; The Four Aces,"""Tell Me Why""",2 weeks
8/2/1952,Eddie Fisher,"""Anytime""",3 weeks
8/9/1952,Eddie Fisher,"""Anytime""",3 weeks
8/16/1952,Eddie Fisher,"""Anytime""",3 weeks
8/23/1952,The Weavers; Les Welch,"""Ay-Round the Corner""",4 weeks
8/30/1952,The Weavers; Les Welch,"""Ay-Round the Corner""",4 weeks
9/6/1952,The Weavers; Les Welch,"""Ay-Round the Corner""",4 weeks
9/13/1952,The Weavers; Les Welch,"""Ay-Round the Corner""",4 weeks
9/20/1952,Johnnie Ray,"""Walkin' My Baby Back Home""",2 weeks
9/27/1952,Johnnie Ray,"""Walkin' My Baby Back Home""",2 weeks
10/4/1952,Al Martino,"""Here in My Heart""",4 weeks
10/11/1952,Al Martino,"""Here in My Heart""",4 weeks
10/18/1952,Al Martino,"""Here in My Heart""",4 weeks
10/25/1952,Al Martino,"""Here in My Heart""",4 weeks
11/1/1952,Ezio Pinza; Bing Crosby,"""Some Enchanted Evening""",3 weeks
11/8/1952,Ezio Pinza; Bing Crosby,"""Some Enchanted Evening""",3 weeks
11/15/1952,Ezio Pinza; Bing Crosby,"""Some Enchanted Evening""",3 weeks
11/22/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
11/29/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
12/6/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
12/13/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
12/20/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
12/27/1952,Vera Lynn; Eddy Howard,"""Auf Wiedersehen, Sweetheart""",7 weeks
