Week beginning,Song,Artist,
January,2,The Prayer,Anthony Callea
9,,,
16,,,
23,Nasty Girl,Nitty,
30,,,
February,6,Over and Over,Nelly featuring Tim McGraw
13,,,
20,,,
27,,,
March,6,,
13,Almost Here,Brian McFadden and Delta Goodrem,
20,Rain/Bridge over Troubled Water,Anthony Callea,
27,,,
April,3,Beautiful Soul,Jesse McCartney
10,,,
17,,,
24,,,
May,1,Signs,Snoop Dogg featuring Justin Timberlake and Charlie Wilson
8,,,
15,Switch,Will Smith,
22,Don't Phunk with My Heart,The Black Eyed Peas,
29,Hollaback Girl,Gwen Stefani,
June,5,Don't Phunk with My Heart,Black Eyed Peas
12,,,
19,Incomplete,Backstreet Boys,
26,We Belong Together,Mariah Carey,
July,3,,
10,Lonely,Akon,
17,,,
24,Axel F,Crazy Frog,
31,,,
August,7,,
14,Lonely,Akon,
21,Ghetto Gospel,2Pac featuring Elton John,
28,Don't Cha,Pussycat Dolls featuring Busta Rhymes,
September,4,,
11,,,
18,,,
25,,,
October,2,Shine,Shannon Noll
9,Don't Cha,Pussycat Dolls featuring Busta Rhymes,
16,,,
23,Gold Digger,Kanye West featuring Jamie Foxx,
30,,,
November,6,,
13,Hung Up,Madonna,
20,My Humps,The Black Eyed Peas,
27,,,
December,4,Maybe Tonight,Kate DeAraugo
11,,,
18,Wasabi/Eye of the Tiger,Lee Harding,
25,,,
