Date,Artist,Single,Weeks at number one
1/7/1980,The Buggles,"""Video Killed the Radio Star""",7 weeks (5 weeks in Dec. 1979)
1/14/1980,The Buggles,"""Video Killed the Radio Star""",7 weeks (5 weeks in Dec. 1979)
1/21/1980,Michael Jackson,"""Don't Stop 'til You Get Enough""",3 weeks
1/28/1980,Michael Jackson,"""Don't Stop 'til You Get Enough""",3 weeks
2/4/1980,Michael Jackson,"""Don't Stop 'til You Get Enough""",3 weeks
2/11/1980,KC and the Sunshine Band,"""Please Don't Go""",2 weeks
2/18/1980,KC and the Sunshine Band,"""Please Don't Go""",2 weeks
2/25/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
3/3/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
3/10/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
3/17/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
3/24/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
3/31/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
4/7/1980,Queen,"""Crazy Little Thing Called Love""",7 weeks
4/14/1980,Split Enz,"""I Got You""",8 weeks
4/21/1980,Split Enz,"""I Got You""",8 weeks
4/28/1980,Split Enz,"""I Got You""",8 weeks
5/5/1980,Split Enz,"""I Got You""",8 weeks
5/12/1980,Split Enz,"""I Got You""",8 weeks
5/19/1980,Split Enz,"""I Got You""",8 weeks
5/26/1980,Split Enz,"""I Got You""",8 weeks
6/2/1980,Split Enz,"""I Got You""",8 weeks
6/9/1980,Rocky Burnette,"""Tired of Toein' the Line""",2 weeks
6/16/1980,Rocky Burnette,"""Tired of Toein' the Line""",2 weeks
6/23/1980,The Vapors,"""Turning Japanese""",2 weeks
6/30/1980,The Vapors,"""Turning Japanese""",2 weeks
7/7/1980,The Village People,"""Can't Stop the Music""",4 weeks
7/14/1980,The Village People,"""Can't Stop the Music""",4 weeks
7/21/1980,The Village People,"""Can't Stop the Music""",4 weeks
7/28/1980,The Village People,"""Can't Stop the Music""",4 weeks
8/4/1980,Lipps Inc,"""Funkytown""",2 weeks
8/11/1980,Lipps Inc,"""Funkytown""",2 weeks
8/18/1980,Genghis Khan,"""Moscow""",6 weeks
8/25/1980,Genghis Khan,"""Moscow""",6 weeks
9/1/1980,Genghis Khan,"""Moscow""",6 weeks
9/8/1980,Genghis Khan,"""Moscow""",6 weeks
9/15/1980,Genghis Khan,"""Moscow""",6 weeks
9/22/1980,Genghis Khan,"""Moscow""",6 weeks
9/29/1980,Diana Ross,"""Upside Down""",4 weeks
10/6/1980,Diana Ross,"""Upside Down""",4 weeks
10/13/1980,Diana Ross,"""Upside Down""",4 weeks
10/20/1980,Diana Ross,"""Upside Down""",4 weeks
10/27/1980,Leo Sayer,"""More Than I Can Say""",2 weeks
11/3/1980,Leo Sayer,"""More Than I Can Say""",2 weeks
11/10/1980,Barbra Streisand,"""Woman in Love""",2 weeks
11/17/1980,Barbra Streisand,"""Woman in Love""",2 weeks
11/24/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
12/1/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
12/8/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
12/15/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
12/22/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
12/29/1980,Joe Dolce Music Theatre,"""Shaddap You Face""",8 weeks
