Date,Artist,Single,Weeks at number one
1/3/1983,Culture Club,"""Do You Really Want to Hurt Me""",6 weeks
1/10/1983,Culture Club,"""Do You Really Want to Hurt Me""",6 weeks
1/17/1983,Culture Club,"""Do You Really Want to Hurt Me""",6 weeks
1/23/1983,Culture Club,"""Do You Really Want to Hurt Me""",6 weeks
1/31/1983,Culture Club,"""Do You Really Want to Hurt Me""",6 weeks
2/7/1983,Laura Branigan,"""Gloria""",7 weeks
2/14/1983,Laura Branigan,"""Gloria""",7 weeks
2/21/1983,Laura Branigan,"""Gloria""",7 weeks
2/28/1983,Laura Branigan,"""Gloria""",7 weeks
3/7/1983,Laura Branigan,"""Gloria""",7 weeks
3/14/1983,Laura Branigan,"""Gloria""",7 weeks
3/21/1983,Laura Branigan,"""Gloria""",7 weeks
3/28/1983,Joe Cocker and Jennifer Warnes,"""Up Where We Belong""",2 weeks
4/4/1983,Joe Cocker and Jennifer Warnes,"""Up Where We Belong""",2 weeks
4/11/1983,Michael Jackson,"""Billie Jean""",5 weeks
4/18/1983,Michael Jackson,"""Billie Jean""",5 weeks
4/25/1983,Michael Jackson,"""Billie Jean""",5 weeks
5/2/1983,Michael Jackson,"""Billie Jean""",5 weeks
5/9/1983,Michael Jackson,"""Billie Jean""",5 weeks
5/16/1983,Redgum,"""I Was Only 19 (A Walk in the Light Green)""",2 weeks
5/23/1983,Redgum,"""I Was Only 19 (A Walk in the Light Green)""",2 weeks
5/30/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
6/6/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
6/13/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
6/20/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
6/27/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
7/4/1983,Bonnie Tyler,"""Total Eclipse of the Heart""",6 weeks
7/11/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
7/18/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
7/25/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
8/1/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
8/8/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
8/15/1983,Austen Tayshus,"""Australiana""",8 weeks
8/22/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
8/29/1983,Irene Cara,"""Flashdance... What a Feeling""",7 weeks
9/5/1983,Austen Tayshus,"""Australiana""",8 weeks
9/12/1983,Austen Tayshus,"""Australiana""",8 weeks
9/19/1983,Austen Tayshus,"""Australiana""",8 weeks
9/26/1983,Austen Tayshus,"""Australiana""",8 weeks
10/3/1983,Austen Tayshus,"""Australiana""",8 weeks
10/10/1983,Austen Tayshus,"""Australiana""",8 weeks
10/17/1983,Austen Tayshus,"""Australiana""",8 weeks
10/24/1983,Culture Club,"""Karma Chameleon""",5 weeks
10/31/1983,Culture Club,"""Karma Chameleon""",5 weeks
11/7/1983,Culture Club,"""Karma Chameleon""",5 weeks
11/14/1983,Culture Club,"""Karma Chameleon""",5 weeks
11/21/1983,Culture Club,"""Karma Chameleon""",5 weeks
11/28/1983,Australian Crawl,"""Reckless (Don't Be So)""",1 week
12/5/1983,Billy Joel,"""Uptown Girl""",1 week
12/12/1983,Kenny Rogers and Dolly Parton,"""Islands in the Stream""",1 week
12/19/1983,Lionel Richie,"""All Night Long (All Night)""",6 weeks
12/26/1983,Lionel Richie,"""All Night Long (All Night)""",6 weeks
