Date,Artist,Single,Weeks at number one
1/7/1961,Elvis Presley,"""Are You Lonesome Tonight?"" / ""I Gotta Know""",6 weeks
1/14/1961,,,
1/21/1961,,,
1/28/1961,,,
2/4/1961,Bert Kaempfert and His Orchestra,"""Wonderland by Night""",3 weeks
2/11/1961,,,
2/18/1961,,,
2/25/1961,Bobby Vee,"""Rubber Ball""",3 weeks
3/4/1961,,,
3/11/1961,,,
3/18/1961,Crash Craddock,"""One Last Kiss""",1 week
3/25/1961,Elvis Presley,"""Wooden Heart""",4 weeks
4/1/1961,,,
4/8/1961,,,
4/15/1961,,,
4/22/1961,Elvis Presley,"""Surrender""",3 weeks
4/29/1961,,,
5/6/1961,,,
5/13/1961,Del Shannon,"""Runaway""",6 weeks
5/20/1961,,,
5/27/1961,,,
6/3/1961,,,
6/10/1961,,,
6/17/1961,,,
6/24/1961,Andy Stewart,"""A Scottish Soldier""",1 week
7/1/1961,Ricky Nelson,"""Travelin' Man"" / ""Hello Mary Lou""",5 weeks
7/8/1961,,,
7/15/1961,,,
7/22/1961,,,
7/29/1961,,,
8/5/1961,Eddie Hodges,"""I'm Gonna Knock on Your Door""",7 weeks
8/12/1961,,,
8/19/1961,,,
8/26/1961,,,
9/2/1961,,,
9/9/1961,,,
9/16/1961,,,
9/23/1961,The Highwaymen,"""Michael""",1 week
9/30/1961,Johnny O'Keefe,"""I'm Counting on You"" / ""Right Now""",3 weeks
10/7/1961,,,
10/14/1961,,,
10/21/1961,Bob Moore and His Orchestra,"""Mexico""",2 weeks
10/28/1961,,,
11/4/1961,Roy Orbison,"""Crying"" / ""Candy Man""",3 weeks
11/11/1961,,,
11/18/1961,,,
11/25/1961,James Darren,"""Goodbye, Cruel World""",2 weeks
12/2/1961,,,
12/9/1961,Charlie Drake,"""My Boomerang Won't Come Back""",6 weeks
12/16/1961,,,
12/23/1961,,,
12/30/1961,,,
