Date,Artist,Single,Weeks at number one
1/6/1962,Charlie Drake,"""My Boomerang Won't Come Back""",6 weeks
1/13/1962,,,
1/20/1962,Sandy Nelson,"""Let There Be Drums""",1 week
1/27/1962,Elvis Presley,"""Can't Help Falling in Love"" / ""Rock-A-Hula Baby""",5 weeks
2/3/1962,,,
2/10/1962,,,
2/17/1962,,,
2/24/1962,,,
3/3/1962,Bobby Darin,"""Multiplication"" / ""Irresistible You""",3 weeks
3/10/1962,,,
3/17/1962,,,
3/24/1962,Mr Acker Bilk,"""Stranger on the Shore""",1 week
3/31/1962,Dion,"""The Wanderer""",1 week
4/7/1962,Kenny Ball and His Jazzmen,"""Midnight in Moscow""",1 week
4/14/1962,Elvis Presley,"""Good Luck Charm"" / ""Anything That's Part of You""",6 weeks
4/21/1962,,,
4/28/1962,,,
5/5/1962,,,
5/12/1962,,,
5/19/1962,,,
5/26/1962,Lucky Starr,"""I've Been Everywhere""",2 weeks
6/2/1962,,,
6/9/1962,Larry Finnegan,"""Dear One""",2 weeks
6/16/1962,,,
6/23/1962,Ray Charles,"""I Can't Stop Loving You""",4 weeks
6/30/1962,,,
7/7/1962,,,
7/14/1962,,,
7/21/1962,Toni Fisher,"""West of the Wall""",2 week
7/28/1962,,,
8/4/1962,Claude King,"""Wolverton Mountain""",1 week
8/11/1962,Bobby Vinton,"""Roses Are Red (My Love)""",4 weeks
8/18/1962,,,
8/25/1962,,,
9/1/1962,,,
9/8/1962,Frank Ifield,"""I Remember You""",2 weeks
9/15/1962,,,
9/22/1962,Tommy Roe,"""Sheila""",3 weeks
9/29/1962,,,
10/6/1962,,,
10/13/1962,Nat King Cole,"""Ramblin' Rose""",1 week
10/20/1962,Del Shannon,"""The Swiss Maid""",3 weeks
10/27/1962,,,
11/3/1962,,,
11/10/1962,Roy Orbison,"""Working for the Man"" / ""Leah""",5 weeks
11/17/1962,,,
11/24/1962,,,
12/1/1962,,,
12/8/1962,,,
12/15/1962,The Tijuana Brass featuring Herb Alpert,"""The Lonely Bull"" / ""Acapulco""",3 weeks
12/22/1962,,,
12/29/1962,,,
