Date,Artist,Single,Weeks at number one
1/6/1968,The Beatles,"""Hello, Goodbye"" / ""I am the Walrus""",2 weeks
1/13/1968,,,
1/20/1968,Johnny Farnham,"""Sadie (The Cleaning Lady)""",5 weeks
1/27/1968,,,
2/3/1968,,,
2/10/1968,,,
2/17/1968,,,
2/24/1968,Procol Harum,"""Homburg""",1 week
3/2/1968,John Fred and His Playboy Band,"""Judy in Disguise""",2 weeks
3/9/1968,,,
3/16/1968,Paul Mauriat and his Orchestra,"""Love is Blue""",5 weeks
3/23/1968,,,
3/30/1968,,,
4/6/1968,,,
4/13/1968,,,
4/20/1968,The Beatles,"""Lady Madonna"" / ""The Inner Light""",2 weeks
4/27/1968,,,
5/4/1968,Bobby Goldsboro,"""Honey""",5 weeks
5/11/1968,,,
5/18/1968,,,
5/25/1968,,,
6/1/1968,,,
6/8/1968,The Irish Rovers,"""The Unicorn""",4 weeks
6/15/1968,,,
6/22/1968,,,
6/29/1968,,,
7/6/1968,Herb Alpert & the Tijuana Brass,"""This Guy's in Love with You""",2 weeks
7/13/1968,,,
7/20/1968,Merrilee Rush,"""Angel of the Morning""",2 weeks
7/27/1968,,,
8/3/1968,The Irish Rovers,"""The Orange and the Green"" / ""Whiskey on a Sunday""",3 weeks
8/10/1968,,,
8/17/1968,,,
8/24/1968,Richard Harris,"""Macarthur Park""",2 weeks
8/31/1968,,,
9/7/1968,Mama Cass with The Mamas & the Papas,"""Dream a Little Dream of Me""",1 week
9/14/1968,Tom Jones,"""Help Yourself""",2 weeks
9/21/1968,,,
9/28/1968,Jeannie C. Riley,"""Harper Valley PTA""",1 week
10/5/1968,The Beatles,"""Hey Jude"" / ""Revolution""",13 weeks
10/12/1968,,,
10/19/1968,,,
10/26/1968,,,
11/2/1968,,,
11/9/1968,,,
11/16/1968,,,
11/23/1968,,,
11/30/1968,,,
12/7/1968,,,
12/14/1968,,,
12/21/1968,,,
12/28/1968,,,
