Date,Artist,Single,Weeks at number one
1/4/1988,Rick Astley,"""Never Gonna Give You Up""",7 weeks
1/11/1988,Rick Astley,"""Never Gonna Give You Up""",7 weeks
1/18/1988,George Michael,"""Faith""",1 week
1/25/1988,George Harrison,"""Got My Mind Set on You""",1 week
2/1/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
2/8/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
2/15/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
2/22/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
2/29/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
3/7/1988,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",6 weeks
3/14/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
3/21/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
3/28/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
4/4/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
4/11/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
4/18/1988,Kylie Minogue,"""I Should Be So Lucky""",6 weeks
4/25/1988,Billy Ocean,"""Get Outta My Dreams, Get Into My Car""",5 weeks
5/2/1988,Billy Ocean,"""Get Outta My Dreams, Get Into My Car""",5 weeks
5/9/1988,Billy Ocean,"""Get Outta My Dreams, Get Into My Car""",5 weeks
5/16/1988,Billy Ocean,"""Get Outta My Dreams, Get Into My Car""",5 weeks
5/23/1988,Billy Ocean,"""Get Outta My Dreams, Get Into My Car""",5 weeks
5/30/1988,Cheap Trick,"""The Flame""",3 weeks
6/6/1988,Cheap Trick,"""The Flame""",3 weeks
6/13/1988,Cheap Trick,"""The Flame""",3 weeks
6/20/1988,Louis Armstrong,"""What a Wonderful World""",2 weeks
6/27/1988,Louis Armstrong,"""What a Wonderful World""",2 weeks
7/4/1988,Kylie Minogue,"""Got to Be Certain""",4 weeks
7/11/1988,Kylie Minogue,"""Got to Be Certain""",4 weeks
7/18/1988,Kylie Minogue,"""Got to Be Certain""",4 weeks
7/25/1988,Kylie Minogue,"""Got to Be Certain""",4 weeks
8/1/1988,John Farnham,"""Age of Reason""",3 weeks
8/8/1988,John Farnham,"""Age of Reason""",3 weeks
8/15/1988,John Farnham,"""Age of Reason""",3 weeks
8/22/1988,Fairground Attraction,"""Perfect""",4 weeks
8/29/1988,Fairground Attraction,"""Perfect""",4 weeks
9/5/1988,Fairground Attraction,"""Perfect""",4 weeks
9/12/1988,Fairground Attraction,"""Perfect""",4 weeks
9/19/1988,Robert Palmer,"""Simply Irresistible""",5 weeks
9/26/1988,Robert Palmer,"""Simply Irresistible""",5 weeks
10/3/1988,Robert Palmer,"""Simply Irresistible""",5 weeks
10/10/1988,Robert Palmer,"""Simply Irresistible""",5 weeks
10/17/1988,Robert Palmer,"""Simply Irresistible""",5 weeks
10/24/1988,U2,"""Desire""",2 weeks
10/31/1988,U2,"""Desire""",2 weeks
11/7/1988,Phil Collins,"""A Groovy Kind of Love""",1 week
11/14/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
11/21/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
11/28/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
12/5/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
12/12/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
12/19/1988,Bobby McFerrin,"""Don't Worry, Be Happy""",6 weeks
12/26/1988,The Beach Boys,"""Kokomo""",7 weeks
