Date,Artist,Single,Weeks at number one
1/2/1978,Wings,"""Mull of Kintyre""",11 weeks
1/9/1978,Wings,"""Mull of Kintyre""",11 weeks
1/16/1978,Wings,"""Mull of Kintyre""",11 weeks
1/23/1978,Wings,"""Mull of Kintyre""",11 weeks
1/30/1978,Wings,"""Mull of Kintyre""",11 weeks
2/6/1978,Wings,"""Mull of Kintyre""",11 weeks
2/13/1978,Wings,"""Mull of Kintyre""",11 weeks
2/20/1978,Wings,"""Mull of Kintyre""",11 weeks
2/27/1978,Bonnie Tyler,"""It's a Heartache""",4 weeks
3/6/1978,Bonnie Tyler,"""It's a Heartache""",4 weeks
3/13/1978,Bonnie Tyler,"""It's a Heartache""",4 weeks
3/20/1978,Bonnie Tyler,"""It's a Heartache""",4 weeks
3/27/1978,The Babys,"""Isn't it Time""",1 week
4/3/1978,Bee Gees,"""Stayin' Alive""",7 weeks
4/10/1978,Bee Gees,"""Stayin' Alive""",7 weeks
4/17/1978,Bee Gees,"""Stayin' Alive""",7 weeks
4/24/1978,Bee Gees,"""Stayin' Alive""",7 weeks
5/1/1978,Bee Gees,"""Stayin' Alive""",7 weeks
5/8/1978,Bee Gees,"""Stayin' Alive""",7 weeks
5/15/1978,Bee Gees,"""Stayin' Alive""",7 weeks
5/22/1978,Kate Bush,"""Wuthering Heights""",3 weeks
5/29/1978,Kate Bush,"""Wuthering Heights""",3 weeks
6/5/1978,Kate Bush,"""Wuthering Heights""",3 weeks
6/12/1978,Eruption,"""I Can't Stand The Rain""",1 weeks
6/19/1978,Gerry Rafferty,"""Baker Street""",1 week
6/26/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
7/3/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
7/10/1978,Boney M.,"""Rivers of Babylon""",6 weeks
7/17/1978,Boney M.,"""Rivers of Babylon""",6 weeks
7/24/1978,Boney M.,"""Rivers of Babylon""",6 weeks
7/31/1978,Boney M.,"""Rivers of Babylon""",6 weeks
8/7/1978,Boney M.,"""Rivers of Babylon""",6 weeks
8/14/1978,Boney M.,"""Rivers of Babylon""",6 weeks
8/21/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
8/28/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
9/4/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
9/11/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
9/18/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
9/25/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
10/2/1978,John Travolta and Olivia Newton-John,"""You're the One That I Want""",9 weeks
10/9/1978,Dragon,"""Are You Old Enough""",2 weeks
10/16/1978,Dragon,"""Are You Old Enough""",2 weeks
10/23/1978,La Belle Epoque,"""Black Is Black""",1 week
10/30/1978,Commodores,"""Three Times a Lady""",5 weeks
11/6/1978,Commodores,"""Three Times a Lady""",5 weeks
11/13/1978,Commodores,"""Three Times a Lady""",5 weeks
11/20/1978,Commodores,"""Three Times a Lady""",5 weeks
11/27/1978,Commodores,"""Three Times a Lady""",5 weeks
12/4/1978,Boney M.,"""Rasputin""",2 weeks
12/11/1978,Boney M.,"""Rasputin""",2 weeks
12/18/1978,Exile,"""Kiss You All Over""",1 week
12/25/1978,Village People,"""Y.M.C.A.""",5 weeks
