Date,Artist,Single,Weeks at number one
1/4/1958,Paul Anka,"""Diana""",8 weeks
1/11/1958,Paul Anka,"""Diana""",8 weeks
1/18/1958,Paul Anka,"""Diana""",8 weeks
1/24/1958,Paul Anka,"""Diana""",8 weeks
2/1/1958,Paul Anka,"""Diana""",8 weeks
2/8/1958,Paul Anka,"""Diana""",8 weeks
2/15/1958,Pat Boone,"""April Love""",6 weeks
2/22/1958,Pat Boone,"""April Love""",6 weeks
3/1/1958,Pat Boone,"""April Love""",6 weeks
3/8/1958,Pat Boone,"""April Love""",6 weeks
3/15/1958,Pat Boone,"""April Love""",6 weeks
3/22/1958,Pat Boone,"""April Love""",6 weeks
3/29/1958,Johnny Mathis,"""The Twelfth of Never""",1 week
4/5/1958,Perry Como,"""Catch a Falling Star""",8 weeks
4/12/1958,Perry Como,"""Catch a Falling Star""",8 weeks
4/19/1958,Perry Como,"""Catch a Falling Star""",8 weeks
4/26/1958,Perry Como,"""Catch a Falling Star""",8 weeks
5/3/1958,Perry Como,"""Catch a Falling Star""",8 weeks
5/10/1958,Perry Como,"""Catch a Falling Star""",8 weeks
5/17/1958,Perry Como,"""Catch a Falling Star""",8 weeks
5/24/1958,Perry Como,"""Catch a Falling Star""",8 weeks
5/31/1958,Laurie London,"""He's Got the Whole World in His Hands""",4 weeks
6/7/1958,Laurie London,"""He's Got the Whole World in His Hands""",4 weeks
6/14/1958,Laurie London,"""He's Got the Whole World in His Hands""",4 weeks
6/21/1958,Laurie London,"""He's Got the Whole World in His Hands""",4 weeks
6/28/1958,The Platters,"""Twilight Time""",4 weeks
7/5/1958,The Platters,"""Twilight Time""",4 weeks
7/12/1958,The Platters,"""Twilight Time""",4 weeks
7/19/1958,The Platters,"""Twilight Time""",4 weeks
7/26/1958,The Music of David Seville,"""Witch Doctor""",1 week
8/2/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
8/9/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
8/16/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
8/23/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
8/30/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
9/6/1958,Slim Dusty,"""A Pub With No Beer""",1 week
9/13/1958,Sheb Wooley,"""The Purple People Eater""",6 weeks
9/20/1958,The Kalin Twins,"""When""",1 week
9/27/1958,Perez Prado,"""Patricia""",1 week
10/4/1958,The Everly Brothers,"""Bird Dog""",3 weeks
10/11/1958,The Everly Brothers,"""Bird Dog""",3 weeks
10/18/1958,The Everly Brothers,"""Bird Dog""",3 weeks
10/25/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
11/1/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
11/8/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
11/15/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
11/22/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
11/29/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
12/6/1958,Domenico Modugno; Dean Martin,"""Volare""",7 weeks
12/13/1958,Tommy Edwards,"""It's All in the Game""",1 week
12/20/1958,The Kingston Trio,"""Tom Dooley""",8 weeks
12/27/1958,The Kingston Trio,"""Tom Dooley""",8 weeks
