Date,Artist,Single,Weeks at number one
1/1/1979,Village People,"""Y.M.C.A.""",5 weeks
1/8/1979,Village People,"""Y.M.C.A.""",5 weeks
1/15/1979,Village People,"""Y.M.C.A.""",5 weeks
1/22/1979,Village People,"""Y.M.C.A.""",5 weeks
1/29/1979,Rod Stewart,"""Da Ya Think I'm Sexy?""",2 weeks
2/5/1979,Rod Stewart,"""Da Ya Think I'm Sexy?""",2 weeks
2/12/1979,The Mojo Singers,"""C'mon Aussie C'mon""",2 weeks
2/19/1979,The Mojo Singers,"""C'mon Aussie C'mon""",2 weeks
2/26/1979,Chic,"""Le Freak""",5 weeks
3/5/1979,Chic,"""Le Freak""",5 weeks
3/12/1979,Chic,"""Le Freak""",5 weeks
3/19/1979,Chic,"""Le Freak""",5 weeks
3/26/1979,Chic,"""Le Freak""",5 weeks
4/2/1979,Blondie,"""Heart of Glass""",5 weeks
4/9/1979,Blondie,"""Heart of Glass""",5 weeks
4/16/1979,Blondie,"""Heart of Glass""",5 weeks
4/23/1979,Blondie,"""Heart of Glass""",5 weeks
4/30/1979,Blondie,"""Heart of Glass""",5 weeks
5/7/1979,Racey,"""Lay Your Love on Me""",8 weeks
5/14/1979,Racey,"""Lay Your Love on Me""",8 weeks
5/21/1979,Racey,"""Lay Your Love on Me""",8 weeks
5/28/1979,Racey,"""Lay Your Love on Me""",8 weeks
6/4/1979,Racey,"""Lay Your Love on Me""",8 weeks
6/11/1979,Racey,"""Lay Your Love on Me""",8 weeks
6/18/1979,Racey,"""Lay Your Love on Me""",8 weeks
6/25/1979,Racey,"""Lay Your Love on Me""",8 weeks
7/2/1979,Donna Summer,"""Hot Stuff""",1 week
7/9/1979,M,"""Pop Muzik""",3 weeks
7/16/1979,M,"""Pop Muzik""",3 weeks
7/23/1979,M,"""Pop Muzik""",3 weeks
7/30/1979,Racey,"""Some Girls""",4 weeks
8/6/1979,Racey,"""Some Girls""",4 weeks
8/13/1979,Racey,"""Some Girls""",4 weeks
8/20/1979,Racey,"""Some Girls""",4 weeks
8/27/1979,Two-Man Band,"""Up There Cazaly""",1 weeks
9/3/1979,The Knack,"""My Sharona""",5 weeks
9/10/1979,The Knack,"""My Sharona""",5 weeks
9/17/1979,The Knack,"""My Sharona""",5 weeks
9/24/1979,The Knack,"""My Sharona""",5 weeks
10/1/1979,The Knack,"""My Sharona""",5 weeks
10/8/1979,Patrick Hernandez,"""Born to Be Alive""",5 weeks
10/15/1979,Patrick Hernandez,"""Born to Be Alive""",5 weeks
10/22/1979,Patrick Hernandez,"""Born to Be Alive""",5 weeks
10/29/1979,Patrick Hernandez,"""Born to Be Alive""",5 weeks
11/5/1979,Patrick Hernandez,"""Born to Be Alive""",5 weeks
11/12/1979,The Boomtown Rats,"""I Don't Like Mondays""",2 weeks
11/19/1979,The Boomtown Rats,"""I Don't Like Mondays""",2 weeks
11/26/1979,Mi-Sex,"""Computer Games""",1 week
12/3/1979,The Buggles,"""Video Killed the Radio Star""",7 weeks (2 weeks in Jan. 1980)
12/10/1979,The Buggles,"""Video Killed the Radio Star""",7 weeks (2 weeks in Jan. 1980)
12/17/1979,The Buggles,"""Video Killed the Radio Star""",7 weeks (2 weeks in Jan. 1980)
12/24/1979,The Buggles,"""Video Killed the Radio Star""",7 weeks (2 weeks in Jan. 1980)
12/31/1979,The Buggles,"""Video Killed the Radio Star""",7 weeks (2 weeks in Jan. 1980)
