Date,Artist,Single,Weeks at number one
1/7/1974,Helen Reddy,"""Leave Me Alone (Ruby Red Dress)""",4 weeks
1/14/1974,Helen Reddy,"""Leave Me Alone (Ruby Red Dress)""",4 weeks
1/21/1974,Suzi Quatro,"""48 Crash""",1 week
1/28/1974,Ringo Starr,"""Photograph""",1 week
2/4/1974,David Bowie,"""Sorrow""",2 weeks
2/11/1974,David Bowie,"""Sorrow""",2 weeks
2/18/1974,Grahame Bond,"""Farewell Aunty Jack""",3 weeks
2/25/1974,Grahame Bond,"""Farewell Aunty Jack""",3 weeks
3/4/1974,Grahame Bond,"""Farewell Aunty Jack""",3 weeks
3/11/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
3/18/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
3/25/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
4/1/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
4/8/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
4/15/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
4/22/1974,Alvin Stardust,"""My Coo Ca Choo""",7 weeks
4/29/1974,Terry Jacks,"""Seasons in the Sun""",4 weeks
5/6/1974,Terry Jacks,"""Seasons in the Sun""",4 weeks
5/13/1974,Terry Jacks,"""Seasons in the Sun""",4 weeks
5/20/1974,Terry Jacks,"""Seasons in the Sun""",4 weeks
5/27/1974,Suzi Quatro,"""Devil Gate Drive""",6 weeks
6/3/1974,Suzi Quatro,"""Devil Gate Drive""",6 weeks
6/10/1974,Suzi Quatro,"""Devil Gate Drive""",6 weeks
6/17/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
6/24/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
7/1/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
7/8/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
7/15/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
7/22/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
7/29/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
8/5/1974,Paper Lace,"""Billy Don't Be a Hero""",8 weeks
8/12/1974,Stevie Wright,"""Evie""",6 weeks
8/19/1974,Stevie Wright,"""Evie""",6 weeks
8/26/1974,Stevie Wright,"""Evie""",6 weeks
9/2/1974,Stevie Wright,"""Evie""",6 weeks
9/9/1974,Stevie Wright,"""Evie""",6 weeks
9/16/1974,Stevie Wright,"""Evie""",6 weeks
9/23/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
9/30/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
10/7/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
10/14/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
10/21/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
10/28/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
11/4/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
11/11/1974,Paper Lace,"""The Night Chicago Died""",8 weeks
11/18/1974,Olivia Newton-John,"""I Love You, I Honestly Love You""",4 weeks
11/25/1974,Olivia Newton-John,"""I Love You, I Honestly Love You""",4 weeks
12/2/1974,Olivia Newton-John,"""I Love You, I Honestly Love You""",4 weeks
12/9/1974,Olivia Newton-John,"""I Love You, I Honestly Love You""",4 weeks
12/16/1974,Carl Douglas,"""Kung Fu Fighting""",3 weeks
12/23/1974,Carl Douglas,"""Kung Fu Fighting""",3 weeks
12/30/1974,Carl Douglas,"""Kung Fu Fighting""",3 weeks
