Date,Artist,Single,Weeks at number one
1/5/1970,Elvis Presley,"""Suspicious Minds""","3 weeks 

(1 week in Dec 1969)"
1/12/1970,,,
1/19/1970,Johnny Farnham,"""Raindrops Keep Fallin' on My Head""",7 weeks
1/26/1970,,,
2/2/1970,,,
2/9/1970,,,
2/16/1970,,,
2/23/1970,,,
3/2/1970,,,
3/9/1970,Shocking Blue,"""Venus""",2 weeks
3/16/1970,,,
3/23/1970,Led Zeppelin,"""Whole Lotta Love""",2 weeks
3/30/1970,,,
4/6/1970,The Beatles,"""Let it Be""",6 weeks
4/13/1970,,,
4/20/1970,,,
4/27/1970,,,
5/4/1970,,,
5/9/1970,,,
5/18/1970,Norman Greenbaum,"""Spirit in the Sky""",5 weeks
5/25/1970,,,
6/1/1970,,,
6/8/1970,,,
6/15/1970,,,
6/22/1970,Ray Stevens,"""Everything is Beautiful""",2 weeks
6/29/1970,,,
7/6/1970,The Beach Boys,"""Cotton Fields""",1 week
7/13/1970,Creedence Clearwater Revival,"""Up Around the Bend"" / ""Run Through the Jungle""",6 weeks
7/20/1970,,,
7/27/1970,,,
8/3/1970,,,
8/10/1970,,,
8/17/1970,,,
8/24/1970,Simon & Garfunkel,"""El Condor Pasa (If I Could)""",1 week
8/31/1970,Mungo Jerry,"""In the Summertime""",1 week
9/7/1970,The Mixtures,"""In the Summertime (cover version)""",6 weeks
9/14/1970,,,
9/21/1970,,,
9/28/1970,,,
10/5/1970,,,
10/12/1970,,,
10/19/1970,The Carpenters,"""(They Long to Be) Close to You""",3 weeks
10/26/1970,,,
11/2/1970,,,
11/9/1970,Creedence Clearwater Revival,"""Lookin' Out My Back Door"" / ""Long as I Can See the Light""",4 weeks
11/16/1970,,,
11/23/1970,,,
11/30/1970,,,
12/7/1970,Miguel Ríos,"""A Song of Joy""",4 weeks
12/14/1970,,,
12/21/1970,,,
12/28/1970,,,
