Date,Artist,Single,Weeks at number one
1/1/1973,Michael Jackson,"""Ben""",8 weeks
1/8/1973,Michael Jackson,"""Ben""",8 weeks
1/15/1973,Michael Jackson,"""Ben""",8 weeks
1/22/1973,Michael Jackson,"""Ben""",8 weeks
1/29/1973,Michael Jackson,"""Ben""",8 weeks
2/5/1973,Lobo,"""I'd Love You to Want Me""",2 weeks
2/12/1973,Lobo,"""I'd Love You to Want Me""",2 weeks
2/19/1973,Carly Simon,"""You're So Vain""",7 weeks
2/26/1973,Carly Simon,"""You're So Vain""",7 weeks
3/5/1973,Carly Simon,"""You're So Vain""",7 weeks
3/12/1973,Carly Simon,"""You're So Vain""",7 weeks
3/19/1973,Carly Simon,"""You're So Vain""",7 weeks
3/26/1973,Carly Simon,"""You're So Vain""",7 weeks
4/2/1973,Carly Simon,"""You're So Vain""",7 weeks
4/9/1973,Roberta Flack,"""Killing Me Softly With His Song""",2 weeks
4/16/1973,Roberta Flack,"""Killing Me Softly With His Song""",2 weeks
4/23/1973,The Carpenters,"""Top of the World""",4 weeks
4/30/1973,The Carpenters,"""Top of the World""",4 weeks
5/7/1973,The Carpenters,"""Top of the World""",4 weeks
5/14/1973,The Carpenters,"""Top of the World""",4 weeks
5/21/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
5/28/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
6/4/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
6/11/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
6/18/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
6/25/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
7/2/1973,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",7 weeks
7/9/1973,Jud Strunk,"""Daisy a Day""",2 weeks
7/16/1973,Jud Strunk,"""Daisy a Day""",2 weeks
7/23/1973,Maureen McGovern,"""The Morning After""",1 week
7/30/1973,Col Joye,"""Heaven is My Woman's Love""",2 weeks
8/6/1973,Col Joye,"""Heaven is My Woman's Love""",2 weeks
8/13/1973,Helen Reddy,"""Delta Dawn""",5 weeks
8/20/1973,Helen Reddy,"""Delta Dawn""",5 weeks
8/27/1973,Helen Reddy,"""Delta Dawn""",5 weeks
9/3/1973,Helen Reddy,"""Delta Dawn""",5 weeks
9/10/1973,Helen Reddy,"""Delta Dawn""",5 weeks
9/17/1973,Shirley Bassey,"""Never Never Never""",2 weeks
9/24/1973,Shirley Bassey,"""Never Never Never""",2 weeks
10/1/1973,Suzi Quatro,"""Can the Can""",6 weeks
10/8/1973,Suzi Quatro,"""Can the Can""",6 weeks
10/15/1973,Suzi Quatro,"""Can the Can""",6 weeks
10/22/1973,Suzi Quatro,"""Can the Can""",6 weeks
10/29/1973,Suzi Quatro,"""Can the Can""",6 weeks
11/5/1973,Suzi Quatro,"""Can the Can""",6 weeks
11/12/1973,Vicki Lawrence,"""He Did with Me""",1 week
11/19/1973,The Rolling Stones,"""Angie""",5 weeks
11/26/1973,The Rolling Stones,"""Angie""",5 weeks
12/3/1973,The Rolling Stones,"""Angie""",5 weeks
12/10/1973,The Rolling Stones,"""Angie""",5 weeks
12/17/1973,The Rolling Stones,"""Angie""",5 weeks
12/24/1973,Helen Reddy,"""Leave Me Alone (Ruby Red Dress)""",4 weeks
12/31/1973,Helen Reddy,"""Leave Me Alone (Ruby Red Dress)""",4 weeks
