Date,Artist,Single,Weeks at number one
1/2/1984,Lionel Richie,"""All Night Long (All Night)""",6 weeks
1/9/1984,Lionel Richie,"""All Night Long (All Night)""",6 weeks
1/16/1984,Lionel Richie,"""All Night Long (All Night)""",6 weeks
1/23/1984,Lionel Richie,"""All Night Long (All Night)""",6 weeks
1/30/1984,INXS,"""Original Sin""",2 weeks
2/6/1984,INXS,"""Original Sin""",2 weeks
2/13/1984,Pat Benatar,"""Love Is a Battlefield""",5 weeks
2/20/1984,Pat Benatar,"""Love Is a Battlefield""",5 weeks
2/27/1984,Pat Benatar,"""Love Is a Battlefield""",5 weeks
3/5/1984,Pat Benatar,"""Love Is a Battlefield""",5 weeks
3/12/1984,Pat Benatar,"""Love Is a Battlefield""",5 weeks
3/19/1984,Cyndi Lauper,"""Girls Just Want to Have Fun""",2 weeks
3/26/1984,Cyndi Lauper,"""Girls Just Want to Have Fun""",2 weeks
4/2/1984,Nena,"""99 Luftballons""",5 weeks
4/9/1984,Nena,"""99 Luftballons""",5 weeks
4/16/1984,Nena,"""99 Luftballons""",5 weeks
4/23/1984,Nena,"""99 Luftballons""",5 weeks
4/30/1984,Nena,"""99 Luftballons""",5 weeks
5/7/1984,"""Weird Al"" Yankovic","""Eat It""",1 week
5/14/1984,Kenny Loggins,"""Footloose""",3 weeks
5/21/1984,Kenny Loggins,"""Footloose""",3 weeks
5/28/1984,Kenny Loggins,"""Footloose""",3 weeks
6/4/1984,Lionel Richie,"""Hello""",3 weeks
6/11/1984,Lionel Richie,"""Hello""",3 weeks
6/18/1984,Lionel Richie,"""Hello""",3 weeks
6/25/1984,The Twelfth Man,"""It's Just Not Cricket""",3 weeks
7/2/1984,The Twelfth Man,"""It's Just Not Cricket""",3 weeks
7/9/1984,The Twelfth Man,"""It's Just Not Cricket""",3 weeks
7/16/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
7/23/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
7/30/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
8/6/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
8/13/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
8/20/1984,Prince,"""When Doves Cry""",1 weeks
8/27/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
9/3/1984,Wham!,"""Wake Me Up Before You Go-Go""",7 weeks
9/10/1984,Tina Turner,"""What's Love Got to Do with It""",1 week
9/17/1984,George Michael,"""Careless Whisper""",4 weeks
9/24/1984,George Michael,"""Careless Whisper""",4 weeks
10/1/1984,George Michael,"""Careless Whisper""",4 weeks
10/8/1984,George Michael,"""Careless Whisper""",4 weeks
10/15/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
10/22/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
10/29/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
11/5/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
11/14/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
11/19/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
11/26/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
12/3/1984,Stevie Wonder,"""I Just Called to Say I Love You""",8 weeks
12/10/1984,Madonna,"""Like a Virgin""",5 weeks
12/17/1984,Madonna,"""Like a Virgin""",5 weeks
12/24/1984,Madonna,"""Like a Virgin""",5 weeks
12/31/1984,Madonna,"""Like a Virgin""",5 weeks
