Date,Artist,Single,Weeks at number one
1/5/1976,ABBA,"""Mamma Mia""",10 weeks
1/12/1976,ABBA,"""SOS""",1 week
1/19/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
1/26/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
2/2/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
2/9/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
2/16/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
2/23/1976,Ted Mulry Gang,"""Jump in My Car""",6 weeks
3/1/1976,CW McCall,"""Convoy""",3 weeks
3/8/1976,CW McCall,"""Convoy""",3 weeks
3/15/1976,CW McCall,"""Convoy""",3 weeks
3/22/1976,Queen,"""Bohemian Rhapsody""",2 weeks
3/29/1976,Queen,"""Bohemian Rhapsody""",2 weeks
4/5/1976,ABBA,"""Fernando""",14 weeks
4/12/1976,ABBA,"""Fernando""",14 weeks
4/19/1976,ABBA,"""Fernando""",14 weeks
4/26/1976,ABBA,"""Fernando""",14 weeks
5/3/1976,ABBA,"""Fernando""",14 weeks
5/10/1976,ABBA,"""Fernando""",14 weeks
5/17/1976,ABBA,"""Fernando""",14 weeks
5/24/1976,ABBA,"""Fernando""",14 weeks
5/31/1976,ABBA,"""Fernando""",14 weeks
6/7/1976,ABBA,"""Fernando""",14 weeks
6/14/1976,ABBA,"""Fernando""",14 weeks
6/21/1976,ABBA,"""Fernando""",14 weeks
6/28/1976,ABBA,"""Fernando""",14 weeks
7/5/1976,ABBA,"""Fernando""",14 weeks
7/12/1976,Sherbet,"""Howzat""",4 weeks
7/19/1976,Sherbet,"""Howzat""",4 weeks
7/26/1976,Sherbet,"""Howzat""",4 weeks
8/2/1976,Sherbet,"""Howzat""",4 weeks
8/9/1976,Fox,"""S-S-S-Single Bed""",3 weeks
8/16/1976,Fox,"""S-S-S-Single Bed""",3 weeks
8/23/1976,Fox,"""S-S-S-Single Bed""",3 weeks
8/30/1976,Elton John and Kiki Dee,"""Don't Go Breaking My Heart""",1 week
9/6/1976,ABBA,"""Dancing Queen""",8 weeks
9/13/1976,ABBA,"""Dancing Queen""",8 weeks
9/20/1976,ABBA,"""Dancing Queen""",8 weeks
9/27/1976,ABBA,"""Dancing Queen""",8 weeks
10/4/1976,ABBA,"""Dancing Queen""",8 weeks
10/11/1976,ABBA,"""Dancing Queen""",8 weeks
10/18/1976,ABBA,"""Dancing Queen""",8 weeks
10/25/1976,ABBA,"""Dancing Queen""",8 weeks
11/1/1976,Bryan Ferry,"""Let's Stick Together""",2 weeks
11/8/1976,Bryan Ferry,"""Let's Stick Together""",2 weeks
11/15/1976,ABBA,"""Money, Money, Money""",6 weeks
11/22/1976,ABBA,"""Money, Money, Money""",6 weeks
11/29/1976,ABBA,"""Money, Money, Money""",6 weeks
12/6/1976,ABBA,"""Money, Money, Money""",6 weeks
12/13/1976,ABBA,"""Money, Money, Money""",6 weeks
12/20/1976,ABBA,"""Money, Money, Money""",6 weeks
12/27/1976,Chicago,"""If You Leave Me Now""",5 weeks
