Date,Artist,Single,Weeks at number one
1/5/1987,Pseudo Echo,"""Funkytown""",7 weeks
1/12/1987,Pseudo Echo,"""Funkytown""",7 weeks
1/19/1987,Pseudo Echo,"""Funkytown""",7 weeks
1/26/1987,Pseudo Echo,"""Funkytown""",7 weeks
2/2/1987,Pseudo Echo,"""Funkytown""",7 weeks
2/9/1987,The Bangles,"""Walk Like an Egyptian""",2 weeks
2/16/1987,Kim Wilde,"""You Keep Me Hangin' On""",2 weeks
2/23/1987,The Bangles,"""Walk Like an Egyptian""",2 weeks
3/2/1987,Kim Wilde,"""You Keep Me Hangin' On""",2 weeks
3/9/1987,Boris Gardiner,"""I Want to Wake Up with You""",1 week
3/16/1987,George Michael and Aretha Franklin,"""I Knew You Were Waiting (For Me)""",4 weeks
3/23/1987,George Michael and Aretha Franklin,"""I Knew You Were Waiting (For Me)""",4 weeks
3/30/1987,George Michael and Aretha Franklin,"""I Knew You Were Waiting (For Me)""",4 weeks
4/6/1987,George Michael and Aretha Franklin,"""I Knew You Were Waiting (For Me)""",4 weeks
4/13/1987,Paul Lekakis,"""Boom Boom (Let's Go Back to My Room)""",5 weeks
4/20/1987,Paul Lekakis,"""Boom Boom (Let's Go Back to My Room)""",5 weeks
4/27/1987,Paul Lekakis,"""Boom Boom (Let's Go Back to My Room)""",5 weeks
5/4/1987,Paul Lekakis,"""Boom Boom (Let's Go Back to My Room)""",5 weeks
5/11/1987,Paul Lekakis,"""Boom Boom (Let's Go Back to My Room)""",5 weeks
5/18/1987,Dave Dobbyn with Herbs,"""Slice of Heaven""",4 weeks
5/25/1987,Dave Dobbyn with Herbs,"""Slice of Heaven""",4 weeks
6/1/1987,Dave Dobbyn with Herbs,"""Slice of Heaven""",4 weeks
6/8/1987,Dave Dobbyn with Herbs,"""Slice of Heaven""",4 weeks
6/15/1987,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",5 weeks
6/22/1987,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",5 weeks
6/29/1987,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",5 weeks
7/6/1987,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",5 weeks
7/13/1987,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",5 weeks
7/20/1987,Mel and Kim,"""Respectable""",1 week
7/27/1987,The Party Boys,"""He's Gonna Step on You Again""",2 weeks
8/3/1987,The Party Boys,"""He's Gonna Step on You Again""",2 weeks
8/10/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
8/17/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
8/24/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
8/31/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
9/7/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
9/14/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
9/21/1987,Kylie Minogue,"""The Loco-Motion""",7 weeks
9/28/1987,Los Lobos,"""La Bamba""",7 weeks
10/5/1987,Los Lobos,"""La Bamba""",7 weeks
10/12/1987,Los Lobos,"""La Bamba""",7 weeks
10/19/1987,Los Lobos,"""La Bamba""",7 weeks
10/26/1987,Los Lobos,"""La Bamba""",7 weeks
11/2/1987,Los Lobos,"""La Bamba""",7 weeks
11/9/1987,Los Lobos,"""La Bamba""",7 weeks
11/16/1987,Icehouse,"""Electric Blue""",1 week
11/23/1987,Jimmy Barnes,"""Too Much Ain't Enough Love""",1 week
11/30/1987,Rick Astley,"""Never Gonna Give You Up""",7 weeks
12/7/1987,Rick Astley,"""Never Gonna Give You Up""",7 weeks
12/14/1987,Rick Astley,"""Never Gonna Give You Up""",7 weeks
12/21/1987,Rick Astley,"""Never Gonna Give You Up""",7 weeks
12/28/1987,Rick Astley,"""Never Gonna Give You Up""",7 weeks
