Date,Artist,Single,Weeks at number one
1/2/1989,The Beach Boys,"""Kokomo""",7 weeks
1/9/1989,The Beach Boys,"""Kokomo""",7 weeks
1/16/1989,The Beach Boys,"""Kokomo""",7 weeks
1/23/1989,The Beach Boys,"""Kokomo""",7 weeks
1/30/1989,The Beach Boys,"""Kokomo""",7 weeks
2/6/1989,The Beach Boys,"""Kokomo""",7 weeks
2/13/1989,Womack & Womack,"""Teardrops""",1 week
2/20/1989,The Proclaimers,"""I'm Gonna Be (500 Miles)""",4 weeks
2/27/1989,The Proclaimers,"""I'm Gonna Be (500 Miles)""",4 weeks
3/6/1989,The Proclaimers,"""I'm Gonna Be (500 Miles)""",4 weeks
3/13/1989,The Proclaimers,"""I'm Gonna Be (500 Miles)""",4 weeks
3/20/1989,Ian Moss,"""Tucker's Daughter""",1 week
3/27/1989,Fine Young Cannibals,"""She Drives Me Crazy""",5 weeks
4/3/1989,Fine Young Cannibals,"""She Drives Me Crazy""",5 weeks
4/10/1989,Fine Young Cannibals,"""She Drives Me Crazy""",5 weeks
4/17/1989,Madonna,"""Like a Prayer""",4 weeks
4/24/1989,Fine Young Cannibals,"""She Drives Me Crazy""",5 weeks
5/1/1989,Fine Young Cannibals,"""She Drives Me Crazy""",5 weeks
5/8/1989,Mike + The Mechanics,"""The Living Years""",1 week
5/15/1989,Madonna,"""Like a Prayer""",4 weeks
5/22/1989,Madonna,"""Like a Prayer""",4 weeks
5/29/1989,Madonna,"""Like a Prayer""",4 weeks
6/5/1989,Julian Lennon,"""Now You're in Heaven""",1 week
6/12/1989,The Bangles,"""Eternal Flame""",1 week
6/19/1989,Bette Midler,"""Wind Beneath My Wings""",3 weeks
6/26/1989,Bette Midler,"""Wind Beneath My Wings""",3 weeks
7/3/1989,Bette Midler,"""Wind Beneath My Wings""",3 weeks
7/10/1989,Roxette,"""The Look""",5 weeks
7/17/1989,Roxette,"""The Look""",5 weeks
7/24/1989,Roxette,"""The Look""",5 weeks
7/31/1989,Roxette,"""The Look""",5 weeks
8/7/1989,Roxette,"""The Look""",5 weeks
8/14/1989,New Kids on the Block,"""You Got It (The Right Stuff)""",1 week
8/21/1989,Simply Red,"""If You Don't Know Me by Now""",3 weeks
8/28/1989,Simply Red,"""If You Don't Know Me by Now""",3 weeks
9/4/1989,Simply Red,"""If You Don't Know Me by Now""",3 weeks
9/11/1989,Richard Marx,"""Right Here Waiting""",6 weeks
9/18/1989,Richard Marx,"""Right Here Waiting""",6 weeks
9/25/1989,Richard Marx,"""Right Here Waiting""",6 weeks
10/2/1989,Richard Marx,"""Right Here Waiting""",6 weeks
10/9/1989,Richard Marx,"""Right Here Waiting""",6 weeks
10/16/1989,Richard Marx,"""Right Here Waiting""",6 weeks
10/23/1989,Jive Bunny and the Mastermixers,"""Swing the Mood""",3 weeks
10/30/1989,Jive Bunny and the Mastermixers,"""Swing the Mood""",3 weeks
11/6/1989,Jive Bunny and the Mastermixers,"""Swing the Mood""",3 weeks
11/13/1989,Cher,"""If I Could Turn Back Time""",6 weeks
11/20/1989,Cher,"""If I Could Turn Back Time""",6 weeks
11/27/1989,Cher,"""If I Could Turn Back Time""",6 weeks
12/4/1989,Cher,"""If I Could Turn Back Time""",6 weeks
12/11/1989,Cher,"""If I Could Turn Back Time""",6 weeks
12/18/1989,Cher,"""If I Could Turn Back Time""",6 weeks
12/25/1989,The B-52's,"""Love Shack""",8 weeks (7 weeks in 1990)
